City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Imbituba,BR,74.82,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
549,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
552,Minuri,PH,72.03,overcast clouds,16.535,121.8574,
554,Santa Clara,CU,80.26,light rain,22.4,-79.9667,El Carmen
558,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
563,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
565,Quang Ngai,VN,70.74,broken clouds,15.1167,108.8,Central Hotel
572,Matay,EG,70.66,few clouds,28.419,30.7792,Nag Aespen
576,Isla Mujeres,MX,84.25,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
578,Calama,CL,70.21,clear sky,-22.4667,-68.9333,Park Hotel Calama
582,Lagoa Formosa,BR,81.01,scattered clouds,-18.7786,-46.4075,Lagoa Hotel
584,Inhambane,MZ,78.78,broken clouds,-23.865,35.3833,Oceano
585,Ponnani,IN,79.92,light rain,10.767,75.9252,Rouba Residency
587,Aksum,ET,70.52,scattered clouds,14.1245,38.7244,Remhai Hotel
589,Mersing,MY,75.11,overcast clouds,2.4312,103.8405,Timotel Hotel
590,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
592,Kirakira,SB,79.32,broken clouds,-10.4544,161.9205,SanBiz Lodge
597,Kabo,CF,83.5,light rain,7.6994,18.629,
600,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
605,Moron,AR,74.95,overcast clouds,-34.6534,-58.6198,Hotel Morón
613,Cordoba,AR,71.76,broken clouds,-31.4135,-64.1811,Hotel Sussex
623,Mazatlan,MX,78.76,scattered clouds,23.2167,-106.4167,Hotel La Siesta
630,Reconquista,AR,70.5,overcast clouds,-29.15,-59.65,Grand Hotel
631,Nishihara,JP,72.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
632,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
635,Cuamba,MZ,73.45,broken clouds,-14.8031,36.5372,Hotel Vision
637,Panlaitan,PH,79.02,moderate rain,12.1191,119.8486,Panlaitan Cetro Beach
643,Isabela,PH,78.85,overcast clouds,6.7085,121.9711,Isawad Resort
645,Ambilobe,MG,75.69,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
650,Constantine,DZ,71.01,clear sky,36.365,6.6147,Grand Hotel Cirta
654,Knysna,ZA,71.8,broken clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
655,Fonte Boa,BR,82.63,overcast clouds,-2.4959,-66.2662,
661,Sumenep,ID,79.88,scattered clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
663,Hirara,JP,73.85,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
664,Grand-Santi,GF,80.49,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
666,Hurghada,EG,77.2,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
668,Puerto Leguizamo,CO,81.45,overcast clouds,-0.1934,-74.7819,la casona de juancho
672,Gold Coast,AU,70.0,mist,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
681,Manglaur,IN,83.03,overcast clouds,29.8,77.8667,Hotel Godawari
691,Homa Bay,KE,74.68,overcast clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
696,San Patricio,US,82.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
700,Casas Grandes,MX,75.43,clear sky,30.3667,-107.95,Pueblo del Soul B&B
706,Vega De Alatorre,MX,84.13,broken clouds,20.0333,-96.6333,Hotel Deluxe
708,Karonga,MW,74.08,light rain,-9.9333,33.9333,Sumuka Inn
