City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Yakeshi,CN,49.2833,120.7333,30.2,51,46,2.93,scattered clouds
295,Neryungri,RU,56.6709,124.6491,2.53,100,93,3.78,overcast clouds
296,Codrington,AU,-38.2667,141.9667,55.47,58,91,6.64,overcast clouds
297,Amberley,US,39.2048,-84.428,58.75,90,100,8.05,light rain
298,Amapa,BR,1.0,-52.0,81.7,83,89,4.05,overcast clouds
299,Stanghelle,NO,60.5528,5.7357,41.18,89,100,2.71,overcast clouds
300,Lata,PT,40.1629,-8.3327,58.82,70,53,9.73,broken clouds
301,Lasa,IT,46.6166,10.7002,42.15,87,67,1.9,broken clouds
302,Gualaquiza,EC,-3.4,-78.55,75.79,74,60,3.69,light rain
303,Nipawin,CA,53.3668,-104.0009,21.24,68,100,19.57,overcast clouds
304,Mena,UA,51.5217,32.2157,41.83,78,100,12.57,overcast clouds
305,Coquimbo,CL,-29.9533,-71.3436,63.84,68,0,9.24,clear sky
306,Huatusco,MX,19.15,-96.95,88.34,29,38,7.31,scattered clouds
307,Havoysund,NO,70.9963,24.6622,37.63,87,100,10.51,light rain
308,Yerbogachen,RU,61.2767,108.0108,10.65,97,34,1.43,scattered clouds
309,Linxia,CN,35.6003,103.2064,42.01,48,97,0.69,overcast clouds
310,Kijang,KR,35.2442,129.2139,62.58,88,76,8.88,broken clouds
311,Dutse,NG,11.7594,9.3392,94.68,14,83,7.27,broken clouds
312,Krasnoselkup,RU,65.7,82.4667,28.71,98,100,7.63,light snow
313,Porto Novo,BJ,6.4965,2.6036,83.28,76,81,10.07,broken clouds
314,Banda Aceh,ID,5.5577,95.3222,80.02,78,89,6.78,overcast clouds
315,Maltahohe,NA,-24.8333,16.9833,72.0,14,0,10.16,clear sky
316,Pangnirtung,CA,66.1451,-65.7125,25.74,81,58,3.06,broken clouds
317,Tarauaca,BR,-8.1614,-70.7656,88.16,55,79,4.63,broken clouds
318,Manacapuru,BR,-3.2997,-60.6206,85.84,68,98,2.51,overcast clouds
319,Lavumisa,SZ,-27.31,31.892,64.6,93,25,3.71,scattered clouds
320,Oranjestad,AW,12.524,-70.027,85.95,66,40,19.57,scattered clouds
321,Mangai,CD,-4.05,19.5333,76.08,71,49,1.59,scattered clouds
322,Pozo Colorado,PY,-23.4923,-58.7972,95.16,35,47,11.01,scattered clouds
323,Natal,BR,-5.795,-35.2094,84.85,65,40,12.66,scattered clouds
324,Edson,CA,53.5835,-116.4356,22.69,55,100,8.37,overcast clouds
325,Horqueta,PY,-23.3428,-57.0597,98.87,29,21,12.73,few clouds
326,Goure,NE,13.9835,10.2704,91.42,9,63,6.35,broken clouds
327,Kropachevo,RU,55.0112,57.9896,41.38,80,88,7.67,overcast clouds
328,Bambanglipuro,ID,-7.95,110.2833,77.27,86,39,5.41,scattered clouds
329,Suozhen,CN,36.9539,118.1047,65.25,54,100,11.59,heavy intensity rain
330,Taiyuan,CN,37.8694,112.5603,51.66,62,0,4.47,clear sky
331,North Platte,US,41.1239,-100.7654,60.69,18,0,18.41,clear sky
332,Coyah,GN,9.75,-13.4167,83.44,55,92,9.53,overcast clouds
333,Hokitika,NZ,-42.7167,170.9667,57.9,89,100,11.92,overcast clouds
334,Pevek,RU,69.7008,170.3133,-25.98,100,69,7.92,broken clouds
335,Riyadh,SA,24.6877,46.7219,93.34,13,71,6.78,broken clouds
336,Hatillo,PR,18.4863,-66.8254,86.4,71,14,8.99,few clouds
337,Aloleng,PH,16.1307,119.7824,81.21,74,99,3.87,overcast clouds
338,Sao Pedro Do Piaui,BR,-5.9294,-42.7186,82.99,74,91,2.08,overcast clouds
339,Vardo,NO,70.3705,31.1107,33.78,93,100,2.3,overcast clouds
340,Honiara,SB,-9.4333,159.95,76.91,88,94,5.32,overcast clouds
341,Tazovskiy,RU,67.4667,78.7,30.31,98,100,10.63,overcast clouds
342,Itarema,BR,-2.9248,-39.9167,82.96,75,61,10.07,broken clouds
